price,status,area,rate_per_sqft,property_type,locality,builder_name,rera_approval,bhk_count,society,company_name,flat_type
11600000.0,under construction,1692,6855,3 BHK Apartment in Shapoorji Pallonji JoyVille,Sector 102,MD Developers,True,3, Shapoorji Pallonji JoyVille,Shapoorji,apartment
55599999.99999999,under construction,3525,15773,3 BHK Apartment in Tribeca Trump Towers Delhi NCR,Sector 65,MD Developers,True,3, Tribeca Trump Towers Delhi NCR,Tribeca,apartment
3900000.0,under construction,665,5864,2 BHK Apartment in Agrante Kavyam Homes,Sector 108,MD Developers,True,2, Agrante Kavyam Homes,Agrante,apartment
13000000.0,under construction,2025,6419,3 BHK Apartment in Emaar Palm Heights,Sector 77,MD Developers,True,3, Emaar Palm Heights,Emaar,apartment
8000000.0,ready to move,1450,5517,3 BHK Apartment in Emaar Palm Hills,Sector 77,Karshni Buildwell,False,3, Emaar Palm Hills,Emaar,apartment
11000000.0,ready to move,1017,10816,3 BHK Apartment in Tulip Violet,Sector 69,Property Consultant,False,3, Tulip Violet,Tulip,apartment
14000000.0,ready to move,1256,11146,4 BHK Apartment in Tulip Violet,Sector 69,Karshni Buildwell,False,4, Tulip Violet,Tulip,apartment
20000000.0,ready to move,2308,8696,4 BHK Apartment in DLF The Primus,Sector 82A,home,False,4, DLF The Primus,DLF,apartment
15800000.0,ready to move,1818,8696,3 BHK Apartment in DLF The Primus,Sector 82A,Property In Gurgaon,False,3, DLF The Primus,DLF,apartment
15600000.0,ready to move,1799,8696,3 BHK Apartment in DLF The Primus,Sector 82A,properties for sale in Gurgaon,False,3, DLF The Primus,DLF,apartment
11399999.999999998,ready to move,1920,5937,3 BHK Apartment in Bestech Park View Sanskruti,Sector 92,Chaahat Homes infratech,False,3, Bestech Park View Sanskruti,Bestech,apartment
20000000.0,ready to move,2308,8696,4 BHK Apartment in DLF The Primus,Sector 82A,Chaahat Homes infratech,False,4, DLF The Primus,DLF,apartment
9500000.0,ready to move,1750,5428,3 BHK Apartment in DLF Regal Gardens,Sector 90,Chaahat Homes infratech,False,3, DLF Regal Gardens,DLF,apartment
10000000.0,ready to move,1827,5473,3 BHK Apartment in DLF Regal Gardens,Sector 90,Viraj Landbase,False,3, DLF Regal Gardens,DLF,apartment
14400000.0,ready to move,2215,6507,4 BHK Apartment in DLF Regal Gardens,Sector 90,Chaahat Homes infratech,False,4, DLF Regal Gardens,DLF,apartment
22200000.000000004,ready to move,2285,9715,3 BHK Apartment in Microtek Greenburg,Sector 86,Chaahat Homes infratech,False,3, Microtek Greenburg,Microtek,apartment
22000000.0,ready to move,3060,7189,4 BHK Apartment in Microtek Greenburg,Sector 86,Chaahat Homes infratech,False,4, Microtek Greenburg,Microtek,apartment
10600000.0,ready to move,1480,7162,2 BHK Apartment in Microtek Greenburg,Sector 86,Chaahat Homes infratech,False,2, Microtek Greenburg,Microtek,apartment
13700000.000000002,ready to move,1895,7229,3 BHK Apartment in Microtek Greenburg,Sector 86,Chaahat Homes infratech,False,3, Microtek Greenburg,Microtek,apartment
22599999.999999996,ready to move,2606,8696,4 BHK Apartment in DLF The Primus,Sector 82A,Chaahat Homes infratech,False,4, DLF The Primus,DLF,apartment
19700000.0,ready to move,2273,8696,4 BHK Apartment in DLF The Primus,Sector 82A,Chaahat Homes infratech,False,4, DLF The Primus,DLF,apartment
18100000.0,ready to move,2086,8696,3 BHK Apartment in DLF The Primus,Sector 82A,Chaahat Homes infratech,False,3, DLF The Primus,DLF,apartment
18100000.0,ready to move,2092,8696,3 BHK Apartment in DLF The Primus,Sector 82A,Chaahat Homes infratech,False,3, DLF The Primus,DLF,apartment
22400000.000000004,ready to move,2576,8696,4 BHK Apartment in DLF The Primus,Sector 82A,Chaahat Homes infratech,False,4, DLF The Primus,DLF,apartment
15300000.0,under construction,2162,7076,4 BHK Apartment in Shapoorji Pallonji JoyVille,Sector 102,Chaahat Homes infratech,True,4, Shapoorji Pallonji JoyVille,Shapoorji,apartment
13000000.0,ready to move,3240,4012,4 BHK Independent Floor in Builder Floors South City 2,South City II,Chaahat Homes infratech,False,4, Builder Floors South City 2,Builder,floor
14000000.0,under construction,1330,10526,2 BHK Apartment in TATA Housing Development TATA La Vida,Sector 113,Chaahat Homes infratech,True,2, TATA Hous,TATA,apartment
